City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Maningrida,AU,-12.0667,134.2667,88.12,50,11,8.46,few clouds
251,Vigrestad,NO,58.5667,5.7,50.59,94,98,15.17,overcast clouds
252,Saint-Augustin,CA,51.226,-58.6502,41.72,81,100,15.48,overcast clouds
253,Labuhan,ID,-6.8844,112.2051,84.56,67,12,8.81,few clouds
254,Sandwick,GB,60.0,-1.25,46.22,93,20,10.36,few clouds
255,Arraial Do Cabo,BR,-22.9661,-42.0278,71.74,85,94,19.08,overcast clouds
256,Fallon,US,39.4735,-118.7774,75.07,23,75,3.44,broken clouds
257,Suhbaatar,MN,50.2314,106.2078,67.95,46,96,7.43,heavy intensity rain
258,Moron,AR,-34.6534,-58.6198,46.15,79,0,3.78,clear sky
259,Namatanai,PG,-3.6667,152.4333,83.57,69,91,5.17,overcast clouds
260,Camana,PE,-16.6228,-72.7111,62.47,87,68,7.47,broken clouds
261,Clyde River,CA,70.4692,-68.5914,46.63,42,75,26.46,broken clouds
262,Changji,CN,44.0167,87.3167,66.99,59,0,4.47,clear sky
263,Dhidhdhoo,MV,6.8833,73.1,82.35,78,79,18.72,broken clouds
264,Kosh-Agach,RU,50.0,88.6667,45.12,38,38,3.06,scattered clouds
265,Yar-Sale,RU,66.8333,70.8333,32.86,79,100,27.34,light snow
266,Raga,SS,8.4596,25.678,72.0,83,95,3.85,overcast clouds
267,Ljungby,SE,56.8332,13.9408,51.17,92,100,12.06,overcast clouds
268,Mandalgovi,MN,45.7625,106.2708,73.65,27,17,14.25,few clouds
269,Luanda,AO,-8.8368,13.2343,69.8,88,20,5.75,few clouds
270,Jackson,US,42.4165,-122.8345,75.07,25,0,18.41,clear sky
271,Havoysund,NO,70.9963,24.6622,46.63,68,100,11.3,overcast clouds
272,Cordoba,AR,-31.4135,-64.1811,49.75,61,0,11.5,clear sky
273,Rundu,NA,-17.9333,19.7667,44.4,66,1,5.93,clear sky
274,Katsuura,JP,35.1333,140.3,74.23,74,96,17.09,overcast clouds
275,Saint Anthony,US,45.0205,-93.218,66.13,38,0,6.91,clear sky
276,Rio Tercero,AR,-32.173,-64.1141,45.81,64,100,6.26,overcast clouds
277,Orvieto,IT,42.7195,12.1116,69.73,62,79,0.6,broken clouds
278,Waitati,NZ,-45.75,170.5667,48.79,70,90,13.0,overcast clouds
279,Minyar,RU,55.0709,57.5485,58.77,95,97,3.22,overcast clouds
280,Yerbogachen,RU,61.2767,108.0108,61.12,66,100,6.89,light rain
281,Magadan,RU,59.5667,150.8,65.53,81,56,5.44,broken clouds
282,Port Blair,IN,11.6667,92.75,83.93,75,97,11.01,overcast clouds
283,Cururupu,BR,-1.8283,-44.8683,73.63,97,51,1.79,broken clouds
284,Irapuato,MX,20.6833,-101.35,76.15,44,16,15.17,few clouds
285,Port Lincoln,AU,-34.7333,135.8667,61.21,68,35,18.3,scattered clouds
286,Shache,CN,38.4167,77.2406,79.25,11,100,5.41,overcast clouds
287,Mezen,RU,65.8522,44.24,55.67,51,100,11.43,overcast clouds
288,Arteaga,MX,18.4667,-102.4167,66.36,87,17,4.56,few clouds
289,Ajdabiya,LY,30.7554,20.2263,74.16,43,0,8.12,clear sky
290,Cartagena,CO,10.3997,-75.5144,83.82,74,40,3.44,scattered clouds
291,Iskateley,RU,67.6803,53.1512,38.88,36,8,13.44,clear sky
292,Thinadhoo,MV,0.5333,72.9333,83.82,70,67,11.65,broken clouds
293,Killybegs,IE,54.6333,-8.45,49.28,88,70,5.93,broken clouds
294,Benghazi,LY,32.1167,20.0667,72.73,71,0,10.49,clear sky
295,Deputatskiy,RU,69.3,139.9,45.9,71,100,5.26,light rain
296,Araure,VE,9.5601,-69.2148,76.39,76,81,1.32,broken clouds
297,Jozefow,PL,52.1371,21.2359,53.04,92,0,3.44,fog
298,Sawtell,AU,-30.3833,153.1,66.18,48,75,13.8,broken clouds
299,Pangnirtung,CA,66.1451,-65.7125,32.02,80,65,5.03,broken clouds
300,Taseyevo,RU,57.2169,94.8978,48.83,44,58,9.8,broken clouds
301,Edgewater,US,28.9889,-80.9023,78.03,80,22,8.68,few clouds
302,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.11,95,51,9.55,broken clouds
303,Vila Velha,BR,-20.3297,-40.2925,75.15,90,75,10.36,broken clouds
304,Prince Rupert,CA,54.3161,-130.3201,57.29,81,75,4.61,broken clouds
305,Lavrentiya,RU,65.5833,-171.0,41.94,79,58,7.4,broken clouds
306,Namibe,AO,-15.1961,12.1522,73.4,53,10,5.79,clear sky
307,San Andres,CO,12.5847,-81.7006,78.82,89,75,3.44,broken clouds
308,Kisangani,CD,0.5167,25.2,70.93,98,100,1.63,overcast clouds
309,Pacific Grove,US,36.6177,-121.9166,69.21,77,0,5.75,clear sky
310,Saldanha,ZA,-33.0117,17.9442,42.85,71,0,6.26,clear sky
311,Krasnogvardeyets,RU,52.6804,52.3635,67.08,64,82,2.82,broken clouds
312,Atar,MR,20.5169,-13.0499,87.17,29,100,13.15,overcast clouds
313,Chicama,PE,-7.8447,-79.1469,61.34,79,35,4.25,scattered clouds
314,Jiwani,PK,25.05,61.7417,83.3,81,27,10.78,scattered clouds
315,Champerico,GT,14.3,-91.9167,78.13,71,96,4.34,overcast clouds
316,Nabire,ID,-3.3667,135.4833,85.35,69,21,5.53,few clouds
